checking	Project_ID	First_Project_ID	Second_Project_ID	Original_Project_description	Curated_Project_description	has_it_been_collected	why_not_collect	Number_of_samples	Number_of_runs	Population	Related_Publications	isIndepthAnalzed
0	PRJEB21528	NULL	NULL	The gut microbiota has been linked to cardiovascular diseases, most notably through the production of trimethylamine and its hepatic conversion to the proatherogenic metabolite, trimethylamine-N-oxide. However, the composition and functional capacity of the gut microbiome in relation to cardiovascular diseases have not been systematically examined. Here we perform a metagenome-wide association study on stools from 218 individuals with atherosclerotic cardiovascular disease (ACVD) and 187 healthy controls. The ACVD gut microbiome deviates from the healthy status by increased abundance of Enterobacteriaceae and Streptococcus spp. and, functionally, in the potential for metabolism or transport of several molecules important for cardiovascular health. We further identify common themes by comparison with gut microbiome data associated with other cardiometabolic diseases (obesity and type 2 diabetes), liver cirrhosis, and an autoimmune disease, rheumatoid arthritis. Our data represent a comprehensive resource for further investigations on the role of the gut microbiome in promoting or preventing ACVD as well as other related diseases.\n\nCurator's note: the exact phenotype of the participants were not mentioned by the authors. We guessed the phenotypes based on sample IDs, i.e. samples with IDs like N## were classified as healthy controls, others were classified as patients. We verified the total numbers of the two groups according to their publication.	NULL	Y		405	405	China	29018189	1
1	PRJEB23052	PRJEB23052	ERP104786	The composition of the gut microbiota has been linked to many central nervoussystem disorders, including neuropsychiatric disorders such as autism spectrumdisorders (ASDs). Several studies have shown that changes in the microbiomemay contribute to the symptoms of ASD, and a recently published study showedthat fecal microbiota transfer therapy significantly improved autism symptoms.We performed shotgun metagenome sequencing of ASD patients (n = 43) and TD children (n = 31).	NULL	Y		74	74	NULL	30701194	0
1	PRJEB23207	PRJEB23207	ERP104944	The human intestinal microbiota is a homeostatic ecosystem with a remarkable impact on human health and the disruption of this equilibrium leads to an increased susceptibility to infection by numerous pathogens. In this study, we used shotgun metagenomic sequencing and two different bioinformatics approaches, to investigate possible changes in the composition of the intestinal microbiota in samples from patients with STEC infection compared to healthy and healed controls, collected during an outbreak caused by a STEC O26:H11 infection. Regardless of the bioinformatic procedure used, a good resolution of the taxonomic profiles of the samples was achieved. The faeces collected from the STEC infected patients showed a lower intestinal abundance of the beneficial microorganisms Bifidobacterium and Clostridiales spp. in comparison to controls where those microorganisms predominated. These differences were observed with both bioinformatic approaches used and seemed to be related with the STEC infection although the variation in the relative abundance of the members of the Bifidobacterium genus could have also been associated with the dysbiotic status following the diarrhoea.Finally, the metagenomic sequencing allowed to identify in the STEC positive samples, all the virulence traits present in the genomes of the STEC O26 that caused the outbreak. The results shown represent a first evidence of the changes occurring in the intestinal microbiota of children in the course of STEC infection and indicate that metagenomics may be a promising tool for the culture-independent clinical diagnosis of the infection.	NULL	Y		14	14	NULL	29468143	0
0	PRJEB23820	PRJEB23820	ERP105598	A correlation between acute Graft-versus-Host Disease (aGvHD) and gut microbiota (GM) composition has been hypothesized; but experimental observations are still few and involve only small cohorts of patients; particularly in children. In the current scenario where fecal microbiota transplantation has been used as a pioneer therapeutic approach to treat steroid-refractory aGvHD; there is an urgent need to expand existing observational studies of the GM dynamics in Hematopoietic Stem Cell Transplantation (HSCT). Aim of the present study is to explore the GM trajectory in 36 pediatric HSCT recipients in relation to aGvHD onset. In the present work; thirty-six pediatric patients; from four transplantation centers; undergoing HSCT were enrolled in the study. Stools were collected at three time points: before HSCT; at time of engraftment and >30 days following HSCT. Changes in the GM phylogentetic structure were reconstructed by the16S rRNA gene sequencing.Children developing gut aGvHD had a dysbiotic GM layout before HSCT occurred. This putative aGvHD-predisposing ecosystem state was characterized by (i) reduced diversity; (ii) lower Blautia content; (iii) increase in Fusobacterium relative abundance. At time of engraftment; the GM resulted deeply affected in all patients; but; regardless of the occurrence of aGvHD and its treatment; it reacquired a eubiotic configuration from day 30. We found a specific GM signature before HSCT predictive of subsequent gut aGvHD occurrence. Our data may open the way to a GM-based stratification of the risk of developing aGvHD in children undergoing to HSCT; potentially useful also to identify patients benefiting from prophylactic fecal transplantation.	NULL	Y	NULL	84	84	NULL	30845942	0
0	PRJEB27306	PRJEB27306	ERP109374	The present work proposes an innovative approach because in previous studies it has been the intestinal microbiota has been prioritized and the role of the microbiota of the Oropharynx in autism spectrum disorders, despite having reports from the connection between changes in the intestinal and oropharyngeal microbiota. The results of this analysis has the potential to give rise to relevant information for theinvestigation of the interconnections that influence the ASD. Changes that are evidenced in the composition and physiology of the oropharyngeal and intestinal microbiome compare the cases of ASD and controls, will allow to delimit the mechanisms metabolic, neurological and immunological that mediate and underlie the symptomatology of the ASD. Therefore, this research will focus on the study of the microbiota Oropharyngeal along with the intestinal to correlate the epidemiological data of thechildren with ASD, contrasting with the control children. The information compiled will incorporate new evidence into the scheme followed by the effector mechanisms of the neurological alterations of ASD. In this study we will investigate the diversity, composition and richness patterns of the microbiota of children with and without ASD. The data will allow us to find associations between ASD disorders with comorbidities such as gastric problems, respiratory and immunological. We will compare the information provided by parents about dietary factors, medication consumption, nutritional behaviors, other chronic diseases, care of the mother during pregnancy and other factors that can be correlated with the patterns of the microbiota found.With these data you can identify what types of bacteria are associated with the states healthy and with the decrease of the severity of the symptoms of ASD	NULL	Y		58	58	Ecuador	DOI:10.1080/19490976.2019.1662260	0
0	PRJEB27307	PRJEB27307	ERP109375	DEHP Alters Gut Microbiota in Human Neonates. Postnatal exposure to DEHP is associated the development of allergic diseases later in life. The objectives of this study is to investigate whether iatrogenic DEHP exposure affected the gut microbiota pattern in newborns and linked to allergic lung inflammation development as the child gets older.	NULL	N	Multiple timepoints per participants; to be processed later.	75	75	Taiwanese	NULL	0
0	PRJEB27564	NULL	NULL	Aiming to explore the temporal stability of gut microbiota in Parkinson's disease and the potential relationship of microbiota and disease progression, we characterized the gut bacterial communities of 64 Parkinson's patients and 64 control subjects from two stool samples per subject, collected on average 2.25 years apart. Microbial communities were analyzed with amplicon sequencing of the V3-V4 variable regions of the 16S rRNA gene, performed on the Illumina MiSeq platform. 	64case and 64 control( two stool samples per subject, collected on average 2.25 years apart,300 run id except 34 invalid run )	Y	NULL	133	266	Finland	31221587	0
0	PRJEB27662	PRJEB27662	ERP109777	Objective: Despite the association of nonalcoholic fatty liver disease (NAFLD) with obesity, NAFLD is also found in non-obese individuals. Few studies have focused on the role of the gut microbiome in non-obese NAFLD. We aimed to compare gut microbiome profiles between non-obese and obese NAFLD subjects.Design: The gut microbiome profiles of 171 Asian subjects with biopsy-proven NAFLD and 31 metabolically healthy controls were analyzed using 16S rRNA sequencing. Study subjects were divided into non-obese (n=64) and obese (n=138) groups. Each group was classified into three subgroups according to fibrosis severity (stage, 0 vs. 1 vs. 2–4). The microbiome profiles were compared with clinical metadata, including metabolic traits and genetic variants.Results: Significant alterations in gut microbiota according to fibrosis severity were observed only in non-obese subjects. Specifically, Enterobacteriaceae, Veilloneallaceae, and other gram-negative bacteria were gradually enriched with increasing fibrosis severity. Ruminococcaceae, however, was depleted with significant fibrosis. Significant associations between these bacteria and serum free fatty acid, adipose tissue insulin resistance, and glycosylated hemoglobin were found only in non-obese subjects. Apparent and strong co-occurring/co-excluding interactions were shown in non-obese subjects. Particularly, the addition of microbial abundance of Enterobacteriaceae, Veilloneallaceae, and Ruminococcaceae to body mass index and fibrosis 4 index showed 0.953 of area under the receiver-operating characteristic curvefor predicting significant fibrosis in non-obese NAFLD subjects.Conclusion: Our results demonstrated disparate compositions in gut microbiota between obese and non-obese Asian NAFLD subjects according to fibrosis severity, highlighting the pathogenic role of gut microbiota, especially in non-obese NAFLD.	NULL	N	No phenotype data.	503	503	Korean	33020474	0
0	PRJEB27928	PRJEB27928	NULL	Association studies have linked microbiome alterations with many human diseases. However  they have not always reported consistent results  thereby necessitating cross-study comparisons. Here  a meta-analysis of eight geographically and technically diverse fecal shotgun metagenomic studies of colorectal cancer (CRC  n=768)  which was controlled for several confounders  identified a core set of 29 species significantly enriched in CRC metagenomes (false discovery rate (FDR). CRC signatures derived from single studies maintained their accuracy in other studies. By training on multiple studies  we improved detection accuracy and disease specificity for CRC. Functional analysis of CRC metagenomes revealed enriched protein and mucin catabolism genes and depleted carbohydrate degradation genes. Moreover  we inferred elevated production of secondary bile acids from CRC metagenomes  suggesting a metabolic link between cancer-associated gut microbes and a fat- and meat-rich diet. Through extensive validations  this meta-analysis firmly establishes globally generalizable  predictive taxonomic and functional microbiome CRC signatures as a basis for future diagnostics.	NULL	Y		82	260	NULL	30936547	0
0	PRJEB28350	PRJEB28350	ERP110543	The presence of cirrhosis in nonalcoholic-fatty-liver-disease (NAFLD) is the most important predictor of liver-related mortality. Limited data exist concerning the diagnostic accuracy of gut-microbiome-derived signatures for detecting NAFLD-cirrhosis. We characterized by16S rRNA amplicon sequencing gut-microbiome compositions of 203 uniquely well-characterized participants from a prospective twin and family cohort; including 98 probands encompassing the entire spectrum of NAFLD and their first-degree relatives (n=105); assessed by advanced magnetic-resonance-imaging (MRI). We observed strong familial correlation of gut-microbiome profiles; driven by shared housing. We identified a panel of 30 features; including 27 bacterial features; which were used to build a Random Forest classifier for detecting NAFLD-cirrhosis. In a derivation cohort of probands; the model had a robust diagnostic accuracy (AUROC of 0.92) for detecting NAFLD-cirrhosis; confirmed in a validation cohort of relatives of proband with NAFLD-cirrhosis (AUROC of 0.87). This study provides novel evidence for a novel fecal-microbiome-derived signature to detect NAFLD-cirrhosis.	NULL	Y	NULL	194	194	NULL	30926798	0
